device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,5,0.9611527170955066,0.9511527170955066,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.048632941166573,66.19420156218162,0.07087046342489192,0.0391796212658072,0.07087046342489192,0.21540936284785708,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.833223578318716,6.2640423040144295,57.013180439672965,76.85367289921813,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,6,0.9534820920157268,0.9434820920157267,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.146389100479677,141.6698649588819,0.07829863871672446,0.033295072028957595,0.07829863871672446,0.2584912354174285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.887897865062248,7.404880335897106,118.43058225297614,169.4693233424804,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,7,0.9458757621182066,0.9358757621182066,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.270670055767093,308.83020592964783,0.0868574972411707,0.026618946156588257,0.0868574972411707,0.30157310798699993,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.969096947780093,8.572243163754093,250.57470032543574,380.62939303400657,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,8,0.9383425043896486,0.9283425043896486,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.401436244306902,676.2609524948707,0.09695391016361302,0.021722252309215092,0.09695391016361302,0.34465498055657134,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.05678126375033,9.746091224863473,532.5529865634225,858.7481197325066,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,9,0.9308887359628504,0.9208887359628504,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.537730084147771,1486.5271361425457,0.10780623054203906,0.017956185169914943,0.10780623054203906,0.38773685312614276,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.149993231021629,10.925466937273914,1136.193808479199,1944.8820350868984,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,10,0.9235192488896283,0.9135192488896283,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.678836030724863,3278.536021782816,0.11902130458458801,0.014688481572642617,0.11902130458458801,0.43081872569571417,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.24801730502915,12.109654756420577,2432.151369434068,4419.461132729008,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,11,0.9162376629974254,0.9062376629974254,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.822485008929378,7243.569086875689,0.1304910440742283,0.012166595419928585,0.1304910440742283,0.4739005982652856,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.348584410664094,13.296385607194663,5215.480327391637,10060.299305659928,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,12,0.909046721913138,0.899046721913138,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.972526230526448,16074.945552193954,0.1421920324812174,0.011406756209585176,0.1421920324812174,0.516982470834857,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.45554375969159,14.489508701361306,11233.685978576203,23002.590155965107,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,13,0.9019484957112999,0.8919484957112999,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.129938982126433,35856.29945135212,0.15407607574882373,0.012782693015000646,0.15407607574882373,0.5600643434044285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.569874638722004,15.690003325530862,24320.320803877374,52864.19618856591,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,14,0.894944524902555,0.884944524902555,false,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,16.292318123643476,80255.80478848325,0.1660744199934148,0.015430063062042598,0.1660744199934148,0.6031462159739999,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.689171907669476,16.895464339617476,52833.739596285384,121910.62475350473,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,15,0.8880359259290351,0.8780359259290351,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.461435467891324,180474.4982966095,0.17813592457172475,0.01855232738180138,0.17813592457172475,0.6462280885435713,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,16.815207379347754,18.107663556434893,115313.93822206583,282455.3999074181,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,16,0.8812234704695387,0.8712234704695387,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,18.62999133519733,405682.44113779557,0.16991625624657997,0.022024385505674447,0.16991625624657997,0.16991368489919167,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,18.46007765029814,18.799905020096524,360609.4429648867,456389.16633568663,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,17,0.8745076463726789,0.8645076463726789,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,19.79498186537932,909668.8118456359,0.17830016407533483,0.02591829393945246,0.17830016407533483,0.17829747773536525,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,19.616684387643954,19.973279343114687,803915.5258012082,1029333.7057023998,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,18,0.8678887053609958,0.8578887053609958,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,20.962629270647625,2043526.144882634,0.1873084106200551,0.029726609972791702,0.1873084106200551,0.1873056002532428,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,20.775323670394382,21.149934870900868,1794715.4207330917,2326830.792545985,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,19,0.8613667009911931,0.851366700991193,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,22.130954443340546,4592837.925967424,0.1968734098049137,0.03346714767112541,0.1968734098049137,0.19687046716958306,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,21.934083976170964,22.327824910510127,4006980.272103758,5264353.398757769,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,20,0.8549415192939187,0.8449415192939187,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,23.297707164040446,10311187.556380898,0.20693726964554474,0.037347098545619545,0.20693726964554474,0.20693418828847507,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,23.09077297575197,23.50464135232892,8933369.319367398,11901510.507615866,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,21,0.8486129038168067,0.8386129038168066,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,24.461879435394316,23107845.776742492,0.21742924604477468,0.04158024024239922,0.21742924604477468,0.21742602184457047,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,24.244453413549746,24.679305457238886,19875026.022638317,26866507.53732364,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,22,0.8423804763215967,0.8323804763215967,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,25.62528665199186,51758291.20864187,0.22819914603512453,0.046041387430009816,0.22819914603512453,0.22819577665768676,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,25.397090875334175,25.853482428649546,44186149.34316551,60628064.419759996,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,23,0.8362437540593504,0.8262437540593504,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,26.789661464736398,116008997.69949137,0.24055075526011332,0.050663386393930566,0.24055075526011332,0.24054721702930104,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,26.549114247707095,27.0302086817657,98192823.20109352,137057751.3560148,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,24,0.8302021643173702,0.8202021643173701,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,27.95404812740253,260020139.2791745,0.26001475297412474,0.05560728650563867,0.26001475297412474,0.26001093396734176,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,27.69403719343519,28.21405906136987,217138031.4576114,311370939.38313556,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,25,0.8242550567660696,0.8142550567660696,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,29.118603328326643,582871785.9080497,0.28679215414045545,0.0608191660763217,0.28679215414045545,0.28678793846160855,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,28.831815389865035,29.40539126678825,477794627.1949171,711057637.4669907,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,26,0.8184017140134057,0.8084017140134057,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,30.283707197911998,1307086251.1839018,0.3203949429802113,0.06614682009656295,0.3203949429802113,0.3203902217749901,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,29.96331697613701,30.604097419686987,1046784249.5606332,1632117094.569472,opt1_dense_hg,0.51,0.97
