device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,5,0.9363751499139104,0.9263751499139103,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.84440079009447,57.456602844877224,0.0683145688584667,0.0343409442909093,0.0683145688584667,0.3155111687919988,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.528889621302471,6.159911958886469,46.17018542435822,71.50201326097105,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,6,0.9224421079227374,0.9124421079227374,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.929837396925949,121.92392119066716,0.07705495631931983,0.030254773010115595,0.07705495631931983,0.3786134025503986,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.55122399437555,7.308450799476348,93.78101538562417,158.5122798828937,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,7,0.9078597308919522,0.8978597308919521,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.000538609158799,256.0955917102557,0.08652010842894167,0.025496521920512865,0.08652010842894167,0.4417156363087984,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.558822972850001,8.442254245467597,188.55256585834243,347.8337820271259,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,8,0.8926973691306176,0.8826973691306176,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.08983431325104,544.8949511968348,0.09661599798733768,0.02016052123484151,0.09661599798733768,0.5048178700671981,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.585016443183843,9.594652183318239,384.01435805373734,773.1755378746867,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,9,0.877033087293267,0.867033087293267,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.202809480561644,1178.559990553704,0.10746235230141939,0.015760660021946236,0.10746235230141939,0.5679201038255979,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.634889376736046,10.770729584387242,795.0431631822893,1747.079549460226,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,10,0.8609515312893963,0.8509515312893963,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.328808039791937,2572.2373204610753,0.11896217003576771,0.014201353650673541,0.11896217003576771,0.6310223375839976,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.69778570220794,11.959830377375935,1660.9416801689833,3983.526280163927,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,11,0.8445420367309835,0.8345420367309835,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.452712866111547,5605.832280760434,0.1307009515329617,0.01424261886563149,0.1307009515329617,0.6941245713423975,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.75858829476915,13.146837437453945,3464.876690676474,9069.68944799023,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,12,0.8278968941241963,0.8178968941241963,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.572254936322652,12180.239968935404,0.14271222835562006,0.016682928649130284,0.14271222835562006,0.7572268051007972,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.815028131221855,14.32948174142345,7206.225743338119,20587.510159254038,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,13,0.8111097337448689,0.8011097337448689,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.688622152082857,26406.805262916576,0.15483596787246276,0.019953372385659588,0.15483596787246276,0.820329038859197,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.86829311322366,15.508951190942055,14954.51097270375,46629.365912827605,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,14,0.794274017585068,0.784274017585068,false,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.799905651605364,57048.67076378854,0.16714690545854957,0.024402087499203494,0.16714690545854957,0.8834312726175968,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.916474378987768,16.68333692422296,30924.75143912638,105240.96991762538,opt1_dense_hg,0.51,0.97
