device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,5,0.9256432127756833,0.9156432127756833,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.768054078569862,54.49507997347214,0.06841038169331655,0.034531152021014415,0.06841038169331655,0.3155111687919988,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.452542909777863,6.083565247361861,43.7904056716219,67.81653870906312,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,6,0.9115096151840365,0.9015096151840365,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.839766182779304,114.544643352948,0.0769190302416675,0.029906892346746622,0.0769190302416675,0.3786134025503986,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.461152780228905,7.218379585329703,88.10504826058629,148.91854189839296,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,7,0.8977202282820315,0.8877202282820315,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.923758332176127,242.82250573817393,0.08624336062342819,0.02454100077645677,0.08624336062342819,0.4417156363087984,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.482042695867328,8.365473968484926,178.78014299006472,329.8060305066555,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,8,0.8842870281511548,0.8742870281511548,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.041672069361558,527.004718718103,0.09633064332014739,0.018745356540880026,0.09633064332014739,0.5048178700671981,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.53685419929436,9.546489939428756,371.4062284947051,747.7902960238225,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,9,0.871216319585202,0.861216319585202,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.174518332037646,1155.6736450543087,0.10745439922452636,0.01570634123139091,0.10745439922452636,0.5679201038255979,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.606598228212048,10.742438435863244,779.6042948468951,1713.1531761704882,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,10,0.858510534612049,0.848510534612049,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.317786897747723,2552.662161170566,0.11895192255752689,0.014115255081806475,0.11895192255752689,0.6310223375839976,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.686764560163725,11.948809235331721,1648.3016342047463,3953.210974164805,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,11,0.8461693569371416,0.8361693569371416,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.460315158713104,5635.450224486877,0.13068722798247043,0.014116126177965227,0.13068722798247043,0.6941245713423975,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.766190587370707,13.154439730055502,3483.183075474273,9117.608389948025,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,12,0.8341904667037556,0.8241904667037556,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.602257163992512,12436.191905053882,0.14267191657052036,0.016334496135199564,0.14267191657052036,0.7572268051007972,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.845030358891714,14.35948396909331,7357.655225500894,21020.12996794082,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,13,0.8225700563058025,0.8125700563058025,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.743926024784448,27438.72880624616,0.1547173843096349,0.01901128954526062,0.1547173843096349,0.820329038859197,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.92359698592525,15.564255063643646,15538.902450509087,48451.54546150438,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,14,0.8113032005017184,0.8013032005017184,false,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.886187405876537,60564.61013098501,0.16691057603805784,0.02272695015407404,0.16691057603805784,0.8834312726175968,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.002756133258941,16.769618678494133,32830.66001771163,111727.02584533313,opt1_dense_hg,0.51,0.97
