device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,5,0.9363751499139104,0.9263751499139103,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.84440079009447,57.456602844877224,0.0683145688584667,0.0343409442909093,0.0683145688584667,0.21540936284785708,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.628991427246613,6.059810152942327,49.48747153281094,66.70902974473383,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,6,0.9224421079227374,0.9124421079227374,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.929837396925949,121.92392119066716,0.07705495631931983,0.030254773010115595,0.07705495631931983,0.2584912354174285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.67134616150852,7.188328632343378,101.9237293786339,145.84869145912785,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,7,0.9078597308919522,0.8978597308919521,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.000538609158799,256.0955917102557,0.08652010842894167,0.025496521920512865,0.08652010842894167,0.30157310798699993,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.698965501171799,8.302111717145799,207.7875638954849,315.63463599012385,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,8,0.8926973691306176,0.8826973691306176,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.08983431325104,544.8949511968348,0.09661599798733768,0.02016052123484151,0.09661599798733768,0.34465498055657134,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.74517933269447,9.434489293807612,429.1027488022911,691.9333625070817,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,9,0.877033087293267,0.867033087293267,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.202809480561644,1178.559990553704,0.10746235230141939,0.015760660021946236,0.10746235230141939,0.38773685312614276,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.815072627435502,10.590546333687787,900.8060005303636,1541.9564817687153,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,10,0.8609515312893963,0.8509515312893963,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.328808039791937,2572.2373204610753,0.11896217003576771,0.014201353650673541,0.11896217003576771,0.43081872569571417,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.897989314096224,11.759626765487651,1908.19026538158,3467.3716519823524,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,11,0.8445420367309835,0.8345420367309835,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.452712866111547,5605.832280760434,0.1307009515329617,0.01424261886563149,0.1307009515329617,0.4739005982652856,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.978812267846262,12.926613464376832,4036.2848242776467,7785.713082237638,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,12,0.8278968941241963,0.8178968941241963,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.572254936322652,12180.239968935404,0.14271222835562006,0.016682928649130284,0.14271222835562006,0.516982470834857,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.055272465487795,14.08923740715751,8511.941176438278,17429.42562990435,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,13,0.8111097337448689,0.8011097337448689,true,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.688622152082857,26406.805262916576,0.15483596787246276,0.019953372385659588,0.15483596787246276,0.5600643434044285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.128557808678428,15.248686495487286,17910.99430857276,38932.47645441101,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,14,0.794274017585068,0.784274017585068,false,false,false,true,false,false,true,0.02,0.52,37,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.799905651605364,57048.67076378854,0.16714690545854957,0.024402087499203494,0.16714690545854957,0.6031462159739999,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.196759435631364,16.403051867579364,37556.094831918585,86658.39327759734,opt1_dense_hg,0.51,0.97
